# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = stan_model_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = .input.data.R
# init = 2 (Default)
# random
#   seed = 1460203626
# output
#   file = stan_out_variational.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,alpha,delta,dx,t.1,t.2,t.3,t.4,t.5,t.6,t.7,t.8,t.9,t.10,t.11,t.12,t.13,t.14,t.15,t.16,t.17,t.18,t.19,t.20,t.21,t.22,t.23,t.24,t.25,t.26,t.27,t.28,t.29,t.30,t.31,t.32,t.33,t.34,t.35,t.36,t.37,t.38,t.39,t.40,t.41,t.42,t.43,t.44,t.45,t.46,t.47,t.48,t.49,t.50,t.51,t.52,t.53,t.54,t.55,t.56,t.57,t.58,t.59,t.60,t.61,t.62,t.63,t.64,t.65,t.66,t.67,t.68,t.69,t.70,t.71,t.72,t.73,t.74,t.75,t.76,t.77,t.78,t.79,t.80,t.81,t.82,t.83,t.84,t.85,t.86,t.87,t.88,t.89,t.90,t.91,t.92,t.93,t.94,t.95,t.96,t.97,t.98,t.99,t.100
# Stepsize adaptation complete.
# eta = 1
0,1.09172,0.0698056,0.0677118,0.325376,0.445456,0.550157,0.632745,0.688485,0.714955,0.712079,0.681937,0.628498,0.557347,0.47549,0.391201,0.313808,0.253299,0.219619,0.221626,0.265785,0.354807,0.486523,0.653315,0.842347,1.0367,1.21731,1.36548,1.4655,1.50692,1.4861,1.4067,1.27912,1.11888,0.944378,0.774356,0.625444,0.510239,0.436087,0.404684,0.412445,0.451487,0.510986,0.578684,0.642307,0.690742,0.714887,0.708152,0.666661,0.589249,0.477313,0.334626,0.167118,-0.0173709,-0.209411,-0.398445,-0.573434,-0.7237,-0.839921,-0.915176,-0.945889,-0.932518,-0.879829,-0.796679,-0.695278,-0.589997,-0.495865,-0.42693,-0.394699,-0.406844,-0.466327,-0.571052,-0.71406,-0.884247,-1.06751,-1.24817,-1.41056,-1.54049,-1.62662,-1.66136,-1.64147,-1.56821,-1.44705,-1.28714,-1.10048,-0.900985,-0.703442,-0.522419,-0.371143,-0.260378,-0.197343,-0.184791,-0.220373,-0.296459,-0.400545,-0.516336,-0.625443,-0.70955,-0.75274,-0.74365,-0.677057,-0.554646,-0.384772,-0.181275
0,0.841979,0.0787107,0.0523551,0.286551,0.439378,0.57041,0.665492,0.717225,0.726168,0.699818,0.649741,0.587905,0.523526,0.461551,0.403238,0.348471,0.298778,0.259694,0.241336,0.256698,0.318013,0.432299,0.597618,0.801407,1.02167,1.23083,1.40129,1.51105,1.54786,1.51097,1.41013,1.26264,1.08935,0.91096,0.745272,0.605724,0.501033,0.435453,0.409214,0.418922,0.457901,0.516665,0.583704,0.646646,0.693702,0.715116,0.704282,0.658257,0.577545,0.465303,0.326279,0.16594,-0.00986588,-0.194639,-0.380578,-0.558062,-0.715804,-0.841973,-0.926179,-0.961775,-0.947737,-0.889448,-0.798111,-0.688954,-0.578793,-0.483622,-0.416779,-0.387905,-0.402612,-0.462563,-0.565664,-0.706197,-0.874904,-1.05923,-1.24393,-1.41233,-1.54805,-1.63718,-1.67031,-1.64403,-1.56137,-1.43106,-1.26591,-1.08048,-0.889065,-0.704166,-0.536008,-0.392824,-0.281572,-0.208455,-0.178732,-0.195575,-0.258199,-0.359863,-0.486654,-0.617873,-0.728489,-0.793415,-0.792733,-0.716444,-0.567345,-0.361047,-0.123009
0,0.946831,0.0696359,0.0622264,0.316911,0.445323,0.555694,0.64008,0.693749,0.715482,0.707207,0.673165,0.618918,0.550547,0.474271,0.396539,0.324418,0.265954,0.230139,0.226215,0.262277,0.343413,0.469833,0.635558,0.828139,1.02969,1.21916,1.37543,1.48067,1.52319,1.49932,1.41375,1.27865,1.11145,0.932149,0.760325,0.612641,0.501014,0.431684,0.405149,0.416819,0.458171,0.51817,0.584718,0.645982,0.69145,0.712671,0.703658,0.661,0.583773,0.473341,0.333144,0.168536,-0.0133444,-0.203727,-0.392488,-0.568669,-0.721285,-0.840403,-0.918355,-0.950902,-0.938099,-0.884663,-0.799728,-0.695993,-0.588363,-0.492296,-0.422082,-0.389285,-0.40151,-0.461609,-0.567387,-0.711802,-0.883638,-1.0686,-1.25071,-1.41394,-1.54378,-1.62874,-1.66141,-1.63905,-1.56364,-1.44142,-1.28205,-1.09756,-0.901334,-0.707133,-0.528329,-0.377163,-0.264002,-0.196493,-0.1786,-0.209659,-0.283685,-0.389213,-0.509955,-0.626374,-0.718088,-0.766764,-0.758999,-0.688598,-0.557748,-0.376808,-0.16271
0,1.00433,0.0540811,0.0559836,0.274719,0.4387,0.575468,0.672267,0.723507,0.731322,0.704141,0.65373,0.59173,0.526879,0.463825,0.403888,0.347354,0.296298,0.256695,0.238803,0.255393,0.318217,0.433783,0.599856,0.803934,1.0244,1.23419,1.40604,1.51785,1.55685,1.52148,1.42078,1.2717,1.09535,0.913214,0.744089,0.602296,0.497001,0.432359,0.408056,0.41994,0.460655,0.520317,0.587386,0.649782,0.696177,0.717257,0.706663,0.661396,0.581613,0.469948,0.33068,0.169068,-0.00885972,-0.196084,-0.38415,-0.562938,-0.72102,-0.846827,-0.930469,-0.965758,-0.951852,-0.893951,-0.802828,-0.693272,-0.581891,-0.484829,-0.415883,-0.385287,-0.399158,-0.459416,-0.563915,-0.706613,-0.877777,-1.06436,-1.25075,-1.42008,-1.55603,-1.64488,-1.67753,-1.65081,-1.56783,-1.4373,-1.27182,-1.08579,-0.893343,-0.707002,-0.537126,-0.392183,-0.279385,-0.20515,-0.174866,-0.191763,-0.255076,-0.358115,-0.48708,-0.621377,-0.735879,-0.804924,-0.807276,-0.730823,-0.575727,-0.355072,-0.0927433
0,1.41303,0.0674954,0.0709112,0.32047,0.443114,0.549785,0.634059,0.691314,0.719036,0.71691,0.686756,0.632394,0.55948,0.475341,0.388759,0.30963,0.248404,0.215237,0.218874,0.265367,0.356825,0.490465,0.658214,0.847071,1.04027,1.21919,1.36567,1.46452,1.50562,1.48538,1.40726,1.28123,1.12235,0.948617,0.778537,0.628737,0.51202,0.436087,0.403033,0.40963,0.448227,0.508071,0.576813,0.641952,0.692072,0.717745,0.712098,0.671065,0.593406,0.480581,0.336537,0.167459,-0.0185329,-0.211759,-0.401497,-0.576655,-0.726617,-0.842213,-0.916721,-0.946753,-0.932899,-0.879978,-0.796822,-0.695556,-0.590447,-0.496432,-0.427505,-0.395163,-0.40711,-0.466364,-0.570893,-0.713798,-0.884029,-1.06752,-1.24863,-1.41168,-1.54246,-1.62951,-1.66513,-1.64589,-1.57287,-1.45143,-1.29068,-1.10271,-0.901647,-0.702564,-0.520322,-0.368374,-0.257573,-0.195076,-0.183443,-0.220074,-0.297119,-0.401961,-0.518325,-0.627945,-0.712625,-0.756446,-0.747784,-0.680844,-0.556443,-0.381911,-0.170115
0,1.2022,0.0537059,0.0662822,0.30784,0.442505,0.556656,0.643247,0.698311,0.721056,0.713455,0.679517,0.624514,0.554402,0.475583,0.395004,0.320417,0.260509,0.224652,0.22206,0.260408,0.344109,0.472683,0.639668,0.832502,1.03355,1.22225,1.37801,1.48336,1.52666,1.50394,1.41942,1.28476,1.11711,0.936397,0.762493,0.612535,0.498964,0.428434,0.401632,0.413909,0.456495,0.518018,0.586065,0.648586,0.694968,0.716751,0.707976,0.665256,0.587665,0.476555,0.335381,0.169565,-0.0136196,-0.205232,-0.394991,-0.571848,-0.724819,-0.844051,-0.921996,-0.9545,-0.94163,-0.888027,-0.802703,-0.698254,-0.589571,-0.492233,-0.420768,-0.387031,-0.398877,-0.459283,-0.566002,-0.711784,-0.885115,-1.07141,-1.25452,-1.41836,-1.54854,-1.63374,-1.6667,-1.64471,-1.56967,-1.44758,-1.28787,-1.10241,-0.904548,-0.708257,-0.527239,-0.374129,-0.259634,-0.19159,-0.173979,-0.206022,-0.281567,-0.38903,-0.512074,-0.631131,-0.725667,-0.776891,-0.770496,-0.698904,-0.562591,-0.370188,-0.137316
0,1.01098,0.068299,0.0619408,0.312193,0.444547,0.557612,0.643224,0.696759,0.717396,0.70764,0.672325,0.617452,0.549268,0.473855,0.397281,0.326131,0.268036,0.231785,0.226701,0.261219,0.340919,0.466494,0.63228,0.82588,1.02918,1.22067,1.37874,1.48511,1.52786,1.5033,1.41638,1.27961,1.11084,0.930367,0.757955,0.610272,0.499115,0.43053,0.40481,0.417198,0.459067,0.519343,0.585942,0.647075,0.692295,0.713223,0.703943,0.661108,0.583837,0.473501,0.333507,0.169133,-0.0125838,-0.20297,-0.391965,-0.568607,-0.721842,-0.841608,-0.920092,-0.952931,-0.94011,-0.886354,-0.800873,-0.696479,-0.588198,-0.491582,-0.420974,-0.387956,-0.400126,-0.460327,-0.566361,-0.711186,-0.883576,-1.06919,-1.25197,-1.41576,-1.54595,-1.63094,-1.66332,-1.64042,-1.56438,-1.44164,-1.28201,-1.0976,-0.901716,-0.70796,-0.529442,-0.378167,-0.264382,-0.195792,-0.176622,-0.206611,-0.280203,-0.386255,-0.508555,-0.627323,-0.721633,-0.772403,-0.76545,-0.693957,-0.559812,-0.37349,-0.152448
0,1.54444,0.0699137,0.0709441,0.318659,0.442651,0.550197,0.634894,0.692208,0.719759,0.717372,0.686991,0.632511,0.559603,0.475554,0.389074,0.309975,0.248648,0.215233,0.218512,0.26462,0.355774,0.48929,0.657164,0.846404,1.04019,1.21979,1.36692,1.46624,1.50754,1.48719,1.40866,1.28202,1.12244,0.948067,0.777503,0.62746,0.510762,0.435079,0.402432,0.409496,0.448523,0.508684,0.577584,0.642722,0.692711,0.718181,0.712323,0.671128,0.593393,0.480583,0.336626,0.167664,-0.0182322,-0.211433,-0.401244,-0.576579,-0.7268,-0.842693,-0.917476,-0.947702,-0.933917,-0.880916,-0.797536,-0.695936,-0.590436,-0.496038,-0.426799,-0.394269,-0.406179,-0.465549,-0.570323,-0.713557,-0.884142,-1.06796,-1.24931,-1.41249,-1.54328,-1.63027,-1.66576,-1.6464,-1.5733,-1.45183,-1.29112,-1.10321,-0.902171,-0.703025,-0.520587,-0.368296,-0.257043,-0.194065,-0.182039,-0.218492,-0.295677,-0.401024,-0.518225,-0.628885,-0.714599,-0.75918,-0.750724,-0.683193,-0.557247,-0.380174,-0.164938
0,0.896441,0.0605562,0.0695151,0.33043,0.446336,0.548353,0.629918,0.686064,0.713816,0.712382,0.683181,0.629763,0.557668,0.474233,0.388332,0.309966,0.249639,0.217475,0.222086,0.269317,0.361046,0.494299,0.660913,0.847939,1.03882,1.21524,1.35946,1.45667,1.49705,1.47716,1.40042,1.27658,1.12034,0.949262,0.781429,0.633141,0.517024,0.440771,0.406636,0.411659,0.448512,0.506747,0.574244,0.638624,0.688473,0.714274,0.709007,0.668451,0.591246,0.47879,0.335037,0.166237,-0.0193945,-0.212091,-0.40108,-0.57528,-0.724156,-0.838681,-0.912305,-0.941817,-0.927942,-0.875566,-0.793495,-0.693732,-0.590345,-0.498021,-0.430502,-0.399072,-0.411298,-0.470165,-0.573712,-0.715205,-0.88381,-1.0657,-1.24542,-1.40743,-1.53757,-1.62437,-1.66,-1.64096,-1.56823,-1.44711,-1.28675,-1.09933,-0.899086,-0.701198,-0.520561,-0.370549,-0.261796,-0.201112,-0.190628,-0.227319,-0.303016,-0.405006,-0.517225,-0.621974,-0.701965,-0.742443,-0.733058,-0.669208,-0.552618,-0.391059,-0.197251
0,0.943971,0.0685182,0.0763632,0.340544,0.450959,0.549262,0.628983,0.684694,0.712583,0.710948,0.680546,0.624776,0.549642,0.463464,0.376336,0.299318,0.243422,0.218463,0.231875,0.287668,0.385645,0.521045,0.6847,0.863763,1.04293,1.2061,1.33816,1.42678,1.46392,1.44683,1.37831,1.26644,1.1235,0.964494,0.80529,0.660805,0.543328,0.461257,0.418377,0.413697,0.441857,0.493967,0.558769,0.623931,0.67734,0.708251,0.70821,0.671695,0.596465,0.48364,0.337525,0.165226,-0.0239106,-0.219004,-0.408465,-0.580889,-0.725993,-0.835507,-0.903969,-0.929328,-0.913277,-0.861263,-0.782127,-0.687389,-0.590222,-0.504208,-0.441995,-0.414003,-0.427314,-0.484881,-0.585137,-0.722063,-0.885696,-1.06305,-1.23932,-1.39931,-1.52883,-1.61607,-1.65268,-1.63459,-1.5624,-1.44131,-1.28072,-1.09334,-0.894088,-0.698702,-0.522294,-0.377921,-0.275326,-0.219968,-0.212461,-0.248481,-0.319189,-0.412137,-0.512576,-0.605035,-0.674989,-0.710418,-0.703077,-0.649311,-0.550331,-0.411918,-0.243619
